common	scientific_name
Howler monkey (AL)	Aloutta spp.
Spider monkey (AP)	Ateles paniscus
Owl monkey (AT)	Aotus trivirgatus
Grivet (African green monkey) (CA)	Cercopithecus aethiops
Capuchin monkey (CB)	Cebus spp
Common marmoset (CJ)	Callithrix jacchus
Dog (CL)	Canis familiaris
Guinea pig (CP)	Cavia porcellus
Domestic horse (DH)	Equus caballus
New World antlered deer (DR)	Odeocoileus spp.
Goat (GT)	Capra hircus
Kangaroo (KG)	Macropus spp.
Hamster (MA)	Mesocricetus auratus
Gray short-tail opossum (MD)	Monodelphis domestica
Cynomolgus monkey (MF)	Macaca fascicularis
Rhesus monkey (MM)	Macaca mulatta
Pig-tail monkey (MN)	Macaca nemestrina
Mouse (MU)	Mus musculus
Domestic sheep (OV)	Ovis aries
Baboon (PC)	Papio cynocephalus
Orangutan (PO)	Pongo pygmaeus
Chimpanzee (PT)	Pan troglodytes
Egyptian fruit bat (RA)	Rousettus aegyptiacus
Rabbit (RB)	Oryctolagus cuniculus
Rat (RT)	Rattus norvegicus
Squirrel monkey (SB)	Saimiri boliviensis
Tamarin (SM)	Saguinus mystax
Turkey (TK)	Meleagris gallopavo
Unknown (UN)	Unknown
Frog (XL)	Xenopus laevis
designator for apath data (ZZ)	designator for apath data
