"birth"	"ts"	"remark"	"geoOrigin"	"parentId"	"QCStateLabel"	"medical"	"performedby"	"Description"	"gender"	"cage"	"prepaid"	"departdate"	"status"	"death"	"hold"	"sire"	"avail"	"project"	"calculated_status"	"dam"	"enddate"	"requestid"	"objectid"	"tbdate"	"room"	"weight"	"taskid"	"date"	"cond"	"Id"	"arrivedate"	"species"	"origin"	"wdate"	"v_status"	"account"
"2006-10-04 00:00:00.0"	"2016-06-13 14:55:53.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	""	""	"alive"	""	""	"493957"	"at"	""	"Alive"	"9749422"	""	""	"d1bf67d4-cbac-102e-8c2a-9926f351b9ae"	"2016-05-09 00:00:00.0"	"3182651"	"0.449"	""	"2006-10-04 00:00:00.0"	"p"	"TEST3804589"	""	"CTJ"	"fringilla"	"2016-06-13 09:00:00.0"	"Not Defined"	""
"2005-03-28 00:00:00.0"	"2016-08-31 14:34:22.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	"emborg, gy22"	""	"alive"	""	"emborg-ng"	"5030167"	"ap"	""	"Alive"	"8416939"	""	""	"e9586d70-0dac-102e-8c2a-9926f351b9ae"	"2016-07-22 00:00:00.0"	"6417824"	"5.91"	""	"2005-03-28 00:00:00.0"	"p"	"TEST4551032"	"2010-07-19 08:30:00.0"	"MAF"	"sollicitudin"	"2016-06-14 08:00:00.0"	"Not Defined"	""
"2007-10-13 00:00:00.0"	"2016-07-22 16:12:15.0"	""	""	""	"Completed"	""	""	""	"F"	"396352"	"emborg, gy22"	""	"alive"	""	"emborg-ng"	""	"ap"	""	"Alive"	"8377984"	""	""	"fe5ff35b-0dac-102e-8c2a-9926f351b9ae"	"2016-07-22 00:00:00.0"	"6417824"	"3.36"	""	"2007-10-13 00:00:00.0"	"p"	"TEST5904521"	"2011-01-24 12:00:00.0"	"MAF"	"diam"	"2016-06-14 08:00:00.0"	"Not Defined"	""
"2009-12-29 00:00:00.0"	"2016-09-14 10:26:23.0"	""	""	""	"Completed"	""	""	""	"M"	"778520"	""	""	"alive"	""	""	"8296075"	"u"	""	"Alive"	"7877112"	""	""	"fd65c93b-d2e4-102e-8c2a-9926f351b9ae"	"2016-07-12 00:00:00.0"	"520678"	"13.61"	""	"2009-12-29 00:00:00.0"	"s"	"TEST4564246"	""	"PCC"	"ac vulputate"	"2016-07-12 10:20:00.0"	"SPF"	""
"2011-11-27 00:00:00.0"	"2016-09-15 15:40:18.0"	""	""	""	"Completed"	""	""	""	"M"	"5426015"	""	""	"alive"	""	""	"3565069"	"abt"	""	"Alive"	"5250080"	""	""	"dbeb7460-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-11 00:00:00.0"	"S043365"	"6.82"	""	"2011-11-27 00:00:00.0"	"p"	"TEST6390238"	""	"PCC"	"risus"	"2016-06-02 14:45:29.0"	"SPF"	""
"2012-09-08 00:00:00.0"	"2016-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"M"	"6217224"	""	""	"alive"	""	"tbs-xin"	"4778953"	"ap"	""	"Alive"	"9681212"	""	""	"70eba884-a859-102e-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"5.1"	""	"2012-09-08 00:00:00.0"	"p"	"TEST3997535"	""	"MML"	"praesent"	"2016-06-02 14:45:29.0"	"SPF"	""
"2012-09-26 00:00:00.0"	"2016-07-18 08:35:10.0"	""	""	""	"Completed"	""	""	""	"M"	"7629361"	""	""	"alive"	""	""	"4884340"	"abt"	""	"Alive"	"7405528"	""	""	"f0ea2d98-0292-102f-8c2a-9926f351b9ae"	"2016-07-11 00:00:00.0"	"S043365"	"8.2"	""	"2012-09-26 00:00:00.0"	"s"	"TEST2008446"	""	"MML"	"ut lobortis"	"2016-05-18 11:16:57.0"	"SPF"	""
"2012-11-16 00:00:00.0"	"2016-09-15 15:39:58.0"	""	""	""	"Completed"	""	""	""	"M"	"5426015"	""	""	"alive"	""	""	"731451"	"ab"	""	"Alive"	"532430"	""	""	"dbe6013a-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-11 00:00:00.0"	"S043365"	"5.88"	""	"2012-11-16 00:00:00.0"	"p"	"TEST499022"	""	"PCC"	"sapien"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-06-08 00:00:00.0"	"2016-07-19 12:12:43.0"	""	""	""	"Completed"	""	""	""	"F"	"9742026"	""	""	"alive"	""	""	"731544"	"ab"	""	"Alive"	"116526"	""	""	"fe8c81b6-da9c-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"4.34"	""	"2013-06-08 00:00:00.0"	"p"	"TEST5171727"	""	"MML"	"sem"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-06-09 00:00:00.0"	"2016-07-18 13:29:02.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	""	""	"d-othr"	"2016-07-18 00:00:00.0"	""	"4778953"	"abt"	""	"Dead"	"3386291"	""	""	"dbe961b9-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"170990"	"2.78"	""	"2013-06-09 00:00:00.0"	"s"	"TEST2950014"	""	"MML"	"egestas"	"2016-07-18 10:35:00.0"	"Not Defined"	""
"2013-06-25 00:00:00.0"	"2016-07-11 07:59:03.0"	""	""	""	"Completed"	"viral exempt: yellow fever vaccination"	""	""	"F"	"4420023"	""	""	"alive"	""	""	"9819418"	"ab"	""	"Alive"	"642333"	""	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"4.36"	""	"2013-06-25 00:00:00.0"	"p"	"TEST4710248"	""	"MML"	"metus"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-06-27 00:00:00.0"	"2016-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"4420023"	""	""	"alive"	""	""	"7785547"	"ab"	""	"Alive"	"7579363"	""	""	"dbe75b10-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"4.52"	""	"2013-06-27 00:00:00.0"	"p"	"TEST3935154"	""	"PCC"	"sodales"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-06-30 00:00:00.0"	"2016-07-11 15:21:42.0"	""	""	""	"Completed"	""	""	""	"F"	"7544598"	""	""	"alive"	""	""	"4891303"	"ab"	""	"Alive"	"7524224"	""	""	"dbe999c8-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-11 00:00:00.0"	"S043365"	"4.1"	""	"2013-06-30 00:00:00.0"	"p"	"TEST4013108"	""	"PCC"	"tellus"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-07-23 00:00:00.0"	"2016-07-11 15:21:42.0"	""	""	""	"Completed"	""	""	""	"F"	"7544598"	""	""	"alive"	""	""	"5542511"	"ab"	""	"Alive"	"4076261"	""	""	"dbeacf0b-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-11 00:00:00.0"	"S043365"	"5.54"	""	"2013-07-23 00:00:00.0"	"p"	"TEST5292692"	""	"MML"	"diam"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-09-28 00:00:00.0"	"2016-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"M"	"3229246"	""	""	"alive"	""	""	"TEST6390238"	"u"	""	"Alive"	"TEST2312318"	""	""	"dbf3266f-b8ba-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"5.2"	""	"2013-09-28 00:00:00.0"	"p"	"TEST2227135"	""	"PCC"	"non"	"2016-06-02 14:45:29.0"	"SPF"	""
"2013-09-29 00:00:00.0"	"2016-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"M"	"6217224"	""	""	"alive"	""	""	"6974794"	"u"	""	"Alive"	"4343642"	""	""	"540e311c-b956-102d-8c2a-9926f351b9ae"	"2016-07-08 00:00:00.0"	"9288603"	"5.74"	""	"2013-09-29 00:00:00.0"	"p"	"TEST4935165"	""	"MML"	"neque"	"2016-06-02 14:45:29.0"	"SPF"	""
