"id"	"date"	"groupId"	"QCStateLabel"	"objectId"
"TEST4710248"	"2015-04-21 00:00"	"7"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST4935165"	"2012-07-17 00:00"	"6"	"Completed"	"dbee90d4-b9ba-102d-8c2a-99264351b9ae"
"TEST4945025"	"2012-05-01 00:00"	"4"	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f341b9ae"
"TEST499022"	"2012-05-01 00:00"	"4"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f331b9ae"
"TEST4564246"	"2015-04-21 00:00"	"3"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f311b9ae"
"TEST6390238"	"2012-07-17 00:00"	"2"	"Completed"	"dbee90d4-b9ba-102d-8c2a-9916f351b9ae"
"TEST499022"	"2012-05-01 00:00"	"1"	"Completed"	"e1bbef52-70ae-102e-8c2a-9996f351b9ae"
"TEST3935154"	"2012-05-01 00:00"	"2"	"Completed"	"e1bbef53-70ae-102e-8c2a-9986f351b9ae"
"TEST4013108"	"2015-04-21 00:00"	"3"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9976f351b9ae"
"TEST2227135"	"2012-07-17 00:00"	"1"	"Completed"	"dbee90d4-b9ba-102d-8c2a-9966f351b9ae"
"TEST3843301"	"2012-05-01 00:00"	"2"	"Completed"	"e1bbef52-70ae-102e-8c2a-9956f351b9ae"
"TEST5598475"	"2012-05-01 00:00"	"2"	"Completed"	"e1bbef53-70ae-102e-8c2a-9946f351b9ae"
"TEST5158984"	"2015-04-21 00:00"	"3"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9936f351b9ae"
"TEST3771679"	"2012-07-17 00:00"	"1"	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f352b9ae"
"TEST1020148"	"2012-05-01 00:00"	"3"	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f353b9ae"
"TEST1099252"	"2012-05-01 00:00"	"3"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f354b9ae"
"TEST9195996"	"2015-04-21 00:00"	"2"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f355b9ae"
"TEST3621582"	"2012-07-17 00:00"	"1"	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f356b9ae"
"TEST3844307"	"2012-05-01 00:00"	"1"	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f357b9ae"
"TEST2312318"	"2012-05-01 00:00"	"2"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f358b9ae"
